study_id,wos_id,authors,year,title,journal,screen_l1,screen_l1_reason,prescreen_flag,prescreen_reason,prescreen_icrv,prescreen_doi_type,prescreen_fp_type
S1983,001414209800001,"Chen, Fenglan; Wang, Shanshan",2025,How to reshape the international competitive advantage of Chinese manufacturing enterprises: A perspective of input servitization,ECONOMIC ANALYSIS AND POLICY,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1985,001418857300001,"Avenyo, Elvis Korku; Tregenna, Fiona",2025,'Learning to Export' and 'Learning By Exporting': Revisiting the Relationship Between Innovation and Exports in African Firms,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,UNSURE,title_insufficient,UNSURE,WEAK-INCL:exporter,,,
S1986,001419391500001,"Szwajca, Danuta; Rydzewska, Alina",2025,Effects and Determinants of Implementing Digital Customer Service Tools in Polish SMEs,SUSTAINABILITY,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,3,,
S1988,001423414200001,"Baig, Maria Ijaz; Yadegaridehkordi, Elaheh",2025,Investigation of Critical Success Factors for Sustainable Marketing of Malaysian Manufacturing Small and Medium-Sized Enterprises: A Multi-Criteria Decision-Making Approach,BUSINESS STRATEGY AND DEVELOPMENT,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1989,001424410300001,"Pedrazzoli, Agustin; Peralta, Ignacio Alvarez; Benito, Santos M. Ruesga",2025,Financial accumulation in non-financial corporations: a firm-level assessment for the OECD,SOCIO-ECONOMIC REVIEW,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,1,,
S1991,001428745400001,"Yang, Yunxiang; Hu, Xiaoyang; Li, Daode; Cai, Wenhao",2025,Including A-shares in the MSCI index and enterprises' Total factor productivity-impact on China's micro-enterprises,FINANCE RESEARCH LETTERS,UNSURE,title_insufficient,UNSURE,WEAK-INCL:productivity,2,,TFP
S1994,001432726100001,"Capelleras, Joan-Lluis; Martin-Sanchez, Victor; Zhang, Chao",2025,The curvilinear relationship between digitalization and export propensity: The role of home country corruption in emerging economies,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,UNSURE,title_insufficient,Y,INCL:export-intensity,2,export_ratio,
S1995,001436515700001,"Jung, Soyeon; Lee, Seoki",2025,Internationalization and stock returns during the pandemic: Hotels vs. casinos,INTERNATIONAL JOURNAL OF HOSPITALITY MANAGEMENT,UNSURE,title_insufficient,Y,INCL:internationalization,,other,
S1996,001436829800001,"Ma, Shuzhong; Wu, Peng; Fang, Chao",2025,The impact of robot adoption on firm's OFDI: Evidence from China,JOURNAL OF ASIAN ECONOMICS,UNSURE,title_insufficient,UNSURE,NO-CLEAR-SIGNAL,2,,
S1997,001436876900001,"Luong, Ha-Phuong; Jones, Chris; Temouri, Yama",2025,Cluster Internationalization to Tax Havens by Multinational Enterprises: An Exploration of Imitative Behaviour,JOURNAL OF WORLD BUSINESS,UNSURE,title_insufficient,Y,INCL:internationalization|MNE,,other,
S1998,001438922300001,"Maurseth, Per Botolf; Masso, Jaan; Holmen, Rasmus Bogh",2025,FDI and trade for foreign market entry: theory and evidence from Estonia,BALTIC JOURNAL OF ECONOMICS,UNSURE,title_insufficient,Y,INCL:FDI|entry-mode,,FDI,
